AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
USC00244839           0R     0R     0R -7777R     4R    34R   172R   125R    22R -7777R     0R     0R
USC00244896           0Q     0Q     0Q     0Q     0Q     2Q    31Q    30Q     7Q     0Q     0Q     0Q
USC00244954           0S     0S     0S     0S -7777S     3S    22S    15S     1S -7777S     0S     0S
USC00245000           0R     0R     0R     0R     2R    17R    88R    77R     5R     0R     0R     0R
USC00245011           0R     0R     0R -7777R     4R    27R   109R    99R    11R     0R     0R     0R
USC00245015           0S     0S     0C -7777S     9C    41S   132C   118C    17C -7777S     0S     0S
USC00245020           0S     0S     0S     0C -7777C     2C    15C     9C -7777C     0S     0C     0C
USC00245030           0S     0S     0S     0S -7777S     4S    33S    17S     1S     0S     0S     0S
USC00245040           0R     0S     0S     0S     1S     8S    40S    27S     2S -7777R     0R     0R
USC00245043           0C     0C     0S     0S     1S     9S    57C    45C     5C     0C     0C     0C
USC00245080           0S     0S -7777S -7777S     2S    15S    86S    65S    12S -7777S     0S     0C
USC00245123           0Q     0Q     0Q     0Q -7777Q     7Q    66Q    69Q    13Q     0Q     0Q     0Q
USC00245153           0C     0C     0C     1C    11C    57C   184C   159C    22C -7777C     0C     0C
USC00245285           0R     0R     0R -7777R    11R    50R   130R   138R    30R     1R     0R     0R
USC00245334           0R     0R     0R     1R    15R    79R   230R   209R    38R     2R -7777R     0R
USC00245338           0S     0S     0S     1S    17S    84S   207S   175S    25S -7777S     0S     0S
USC00245340           0S     0S -7777S     1C    11S    75S   213S   198S    33S     1C     0C     0C
USC00245387           0S     0S     0S -7777C     1S    12C    61S    41C     4S -7777S     0S     0S
USC00245572           0S     0S     0S     1S    14S    71S   165S   148S    23S     1S     0S     0S
USC00245596           0S     0C     0C     1S    17C    92C   259S   233C    52S     2S     0S     0S
USC00245603           0S     0S     0S     0S -7777S     5S    36S    24S     4S -7777S     0R     0R
USC00245668           0S     0S     0S -7777S    11S    74S   210S   185S    33S     1S     0S     0S
USC00245712           0R     0R     0R     0R -7777R     8R    44S    32S     2S     0S     0S     0S
USC00245735           0C     0C     0C -7777C     6C    32C   132C   114C    18C -7777S     0C     0C
USC00245740           0Q     0Q     0Q     0Q     4Q    22Q   109Q    88Q     9Q -7777Q     0Q     0Q
USC00245754           0S     0C     0C     1S    13C    84S   238C   211C    39C -7777C     0C     0C
USC00245761           0C     0C     0C -7777C     3C    22C   103C   106C    23C     1C     0C     0C
USC00245870           0S     0S     0S     1S    11S    85S   240S   207S    44S     1S     0S     0S
USC00245872           0R     0S     0S     1S    18S    88S   245S   224R    55R     3R -7777R     0R
USC00245961           0S     0S     0S -7777S     1S    11S    54S    46S    10S -7777S     0S     0S
USC00245983           0R     0R     0R     1R    15R    87R   235R   232R    41R     1R     0R     0R
USC00246007           0Q     0Q     0Q     0Q -7777Q     5Q    46Q    38Q     6Q     0Q     0Q     0Q
USC00246008           0R     0R     0R -7777R     1R    11R    57R    60R    10R -7777R     0R     0R
USC00246157           0S     0S     0S     1S    17S    75S   248S   225S    64S     4S     0S     0S
USC00246190           0S     0S -7777S     1S     3S    18S    90S    76S    17S     3S -7777S     0S
USC00246218           0C     0C     0C     0C     1C     6S    32S    22C     1S     0S     0S     0C
USC00246236           0S     0S     0S -7777S     5S    36S    93S    94S    13S -7777S     0S     0S
USC00246238           0C     0C     0S -7777C     3C    26C    78C    81C     9C -7777C     0C     0C
USC00246304           0C     0S     0S     0S     1C     4C    25C    17S     1S     0S     0S     0C
USC00246370           0Q     0Q     0Q     1Q     2Q    31Q   177Q   100Q    32Q -7777Q     0Q     0Q
USC00246472           0S     0S     0S -7777S     1S     7S    30S    24S     3S -7777S     0R     0S
USC00246580           0Q     0Q     0Q     0Q     1Q     3Q    27Q    11Q -7777Q     0Q     0Q     0Q
USC00246586           0R     0R     0R     1R    15R    74R   170R   159R    26R -7777R     0R     0R
USC00246601           0S     0S     0S     1S    13S    77S   217S   185S    39S     1S     0S     0S
USC00246615           0R     0R     0R     0R -7777R     3R    15R     9R -7777R     0R     0R     0R
USC00246618           0Q     0Q     0Q     0Q -7777Q     3Q    26Q    16Q -7777Q     0Q     0Q     0Q
USC00246635           0S     0S     0S -7777S     5S    25S   120S   111S    13S -7777S     0S     0S
USC00246640           0S     0S     0S -7777S     5S    29S   149S   139S    18S -7777S     0S     0S
USC00246647           0R     0R     0R -7777R     9R    60R   224R   204R    39R     1R     0R     0R
USC00246655           0R     0R     0R -7777R     1R    14R    71R    51R     6R -7777R     0R     0R
USC00246672           0S     0S     0S     1S     9S    49S   147S   142S    21R     1R     0R     0R
USC00246685           0S     0S     0C     0S     1C     6S    32S    18S     1S     0S     0S     0S
USC00246691           0S     0S     0S     1S    16S   100S   281S   251S    52S     1S     0S     0S
USC00246862           0S     0S     0S -7777S     6S    45S   179R   156R    33R     2S     0S     0S
USC00246893           0C     0C     0C     1S    12S    61S   144S   146S    28S     2S     0S     0S
USC00246902           0C     0C     0C -7777C     3C    23C   103C   102C    24C     2C     0C     0C
USC00246918           0R     0R     0R -7777R     2R    18R    73S    55S    11R -7777R     0R     0R
USC00246927           0S     0S     0R -7777S     8S    51S   123S   118S    15S -7777S     0S     0S
USC00247034           0C     0S -7777S     1S     9S    65C   204S   181S    34S     1C     0C     0C
USC00247136           0S     0S     0S -7777S     9S    63S   201S   192S    40S     1S     0S     0S
USC00247159           0R     0R     0R -7777S     2R    19S    89S    79R    15R     1R     0R     0R
USC00247204           0Q     0Q     0Q     0Q     1Q    13Q   107Q    96Q    14Q -7777Q     0Q     0Q
USC00247214           0S     0S     0S     1S    15S    84S   247S   212S    45S     2S -7777S     0S
USC00247220           0Q     0Q     0Q -7777Q     4Q    41Q   177Q   132Q    27Q -7777Q     0Q     0Q
USC00247228           0R     0R     0R -7777R     7R    53R   178R   162R    30R     2R     0R     0R
USC00247234           0R     0R     0R     1R    14R    77R   231R   205R    31R -7777R     0R     0R
USC00247247           0Q     0Q     0Q -7777Q     4Q    34Q   147Q   122Q    15Q -7777Q     0Q     0Q
USC00247248           0Q     0Q     0Q -7777Q     7Q    28Q   120Q   108Q    15Q -7777Q     0Q     0Q
USC00247250           0R     0R     0R     1R     8R    40R   139R   134R    20R -7777R     0R     0R
USC00247261           0Q     0Q     0Q -7777Q     6Q    48Q   182Q   154Q    21Q     1Q     0Q     0Q
USC00247263           0C     0C     0S -7777C     2S    29C   117C   108C    18C -7777C     0C     0C
USC00247265           0R     0S     0S -7777S     8S    59S   163S   136R    16R -7777R     0S     0R
USC00247286           0S     0C -7777C -7777S     7C    37S   136S   115S    16C -7777C     0S     0S
USC00247292           0S     0S     0S -7777S     1S     6S    44S    40S     5R -7777S     0S     0S
USC00247318           0S     0S     0S -7777S     3S    25S    92S    82S    10R     0S     0S     0S
USC00247342           0Q     0Q     0Q -7777Q     2Q    45Q   184Q   154Q    32Q -7777Q     0Q     0Q
USC00247382           0C     0C -7777C     2C    21S   102S   247S   218S    44C     1C     0S     0C
USC00247425           0R     0R -7777R -7777R     9R    54R   130R   127R    17R -7777R     0R     0R
USC00247448           0S     0S     0S -7777S     2S    10S    58S    45S     5S -7777S     0S     0S
USC00247500           0R     0R     0R -7777R     5R    23R   109R    95R    11R -7777R     0R     0R
USC00247540           0R     0R -7777R -7777R     6R    26R   109R   118R    33R     2R -7777R     0R
USC00247560           0S     0S -7777S     2S    27S   101S   230S   213S    44S     1S     0S     0S
USC00247620           0R     0S     0S -7777S     8S    42S   141S   125S    18S -7777R     0S     0S
USC00247740           0S     0S     0S -7777S     3S    32S   124S   111S    18S -7777S     0S     0S
USC00247864           0C     0C     0C -7777S     4S    28C   112C   109C    25C     1C     0S     0S
USC00247894           0S     0C     0C -7777S     7S    38S   132S    99S    12S -7777S     0S     0S
USC00247964           0C     0C     0C     0C -7777C     4S    29S    15S     1S     0C     0C     0C
USC00247967           0Q     0Q     0Q -7777Q     1Q     4Q    26Q    17Q -7777Q     0Q     0Q     0Q
USC00247978           0Q     0Q     0Q     0Q     0Q -7777Q     8Q     8Q -7777Q -7777Q     0Q     0Q
USC00247996           0S     0S     0S -7777S     6S    26S   102S   102S    22S     1R     0R     0S
USC00248021           0S     0C     0C     1S     4S    26C   100C    83C    12C     1C     0C     0C
USC00248087           0S     0R     0R -7777R     1R     9R    48R    32R     1R     0R     0R     0S
USC00248093           0R     0R     0S -7777S     4R    27R   103R    96R    16R     1R     0R     0R
USC00248165           0S     0S     0S     1S    16C    93C   239C   212S    41S     1C     0S     0S
USC00248169           0C     0C     0C -7777C     6C    43C   149S   139S    23C -7777C     0C     0C
USC00248211           0S     0S     0S -7777S    13S    51S   180S   173S    34S -7777S     0S     0S
USC00248233           0R     0R     0R     1S     9R    49S   149R   126S    20S -7777S -7777R     0S
USC00248324           0S     0S     0S -7777S     4S    30S   109S    88S    12S -7777S -7777S     0C
USC00248363           0S     0S     0R -7777S     6S    45R   161S   126S    18S     1S     0S     0S
USC00248380           0R     0R     0R -7777R     5R    18R    82R    73R    10R -7777R     0R     0R
USC00248390           0C     0S     0S -7777S     8R    38R   127S   115S    19S -7777S     0S     0S
USC00248395           0R     0R     0R -7777R     5R    22R    90R    88R    12R -7777R     0R     0R
USC00248415           0R     0R     0R     1R     8R    45R   130R   127R    21R -7777R     0R     0R
USC00248430           0S     0S     0S -7777S     1S    14S    66S    33S     2S -7777S     0S     0S
USC00248498           0R     0R     0R -7777R     8R    53R   169R   152R    21R -7777S     0S     0S
USC00248501           0C     0S     0S -7777S     4S    24S   100S    91S    18S     1C     0C     0C
USC00248569           0R     0R     0R     1S    14S    70S   198S   189S    35S     1R     0S     0R
USC00248597           0C     0C     0C     0C     1C    12C    75C    53C     6C -7777C     0C     0C
USC00248777           0S     0S     0S -7777S     7S    44S   118R   116S    16S -7777S     0S     0S
USC00248783           0R     0R     0S -7777S     3R    22R   104R    72R     6R -7777R     0R     0R
USC00248809           0S     0S     0S -7777S     1S    12S    61S    47S     3S -7777S     0S     0S
USC00248857           0R     0R     0R     0R     0R     1R     4R     2R -7777R     0R     0R     0R
USC00248858           0Q     0Q     0Q     0Q     0Q -7777Q    19Q    10Q     2Q     0Q     0Q     0Q
USC00248902           0R     0R     0R     0R     2R    15R    80R    67R     4R     0R     0R     0R
USC00248930           0S     0S     0S -7777S     1S    13S    71R    58S     6S -7777R     0S     0S
USC00248957           0C     0C -7777S -7777C     8C    58C   168C   160S    32C -7777C     0C     0C
USC00249023           0S     0S     0S     0S -7777S     4S    27S    21S     2S -7777S     0S     0S
USC00249033           0S     0S     0S -7777S     7S    43S   142C   134C    23C -7777S     0S     0S
USC00249067           0S     0S     0S     0S     0S -7777S     6C     1C -7777C     0C     0S     0C
USC00249082           0R     0R     0R     0R     0R -7777R     3R     2R -7777R     0R     0R     0R
USC00249103           0R     0R     0R     2R    24R   102R   266R   231R    46R     2R     0R     0R
USC00249175           0R     0R     0R -7777R     6R    53R   171R   122R    21R -7777R     0R     0R
USC00249187           0Q     0Q     0Q     0Q -7777Q     3Q    19Q    16Q -7777Q     0Q     0Q     0Q
USC00249240       -7777S -7777S -7777S     3S    16S    87S   253S   228S    57S     6S -7777S     0S
USC00249900           0R     0R     0R -7777R     3R    22R    87R    86R    17R     1R     0R     0R
USC00250030           0S     0S     0S -7777S     7S    64S   190S   151S    29S -7777S     0S     0S
USC00250050           0S     0C -7777C     7C    36C   149C   307C   259C    90C     9C -7777C     0C
USC00250070           0S     0S -7777S     6S    38S   165S   283R   221R    74R     6R -7777R     0R
USC00250130           0R     0R     0R     1R    16R   108R   269R   220R    53R     1R     0R     0R
USC00250138           0Q     0Q     0Q -7777Q     9Q    81Q   227Q   197Q    48Q -7777Q     0Q     0Q
USC00250245           0C     0C -7777C     4C    27C   128C   264C   211C    64C     4C -7777C     0C
USC00250355           0R     0R -7777R     2R    25R   130R   273R   196R    54R     3R     0R     0R
USC00250365           0S     0S -7777S     3S    26S   127S   280S   237S    71S     2S     0S     0S
USC00250375           0S -7777S     1S    16S    70S   249S   383S   315S   128S    18S     1S     0S
USC00250420           0S     0S -7777S     5S    29S   136S   279S   222S    72S     4S     0S     0S
USC00250435           0C -7777C     2C    23C    92C   266C   390C   335C   149C    25C     1C     0C
USC00250445           0S     0S     1S    11S    55S   208S   324S   270S   100S     9S -7777S     0S
USC00250525           0R     0R -7777R     3R    21R   119R   240R   189R    55R     3R     0R     0R
USC00250622           0R -7777R     1R    11R    58R   229R   372R   315R   119R    15R     1S     0S
USC00250640           0C     0C -7777C     8C    56C   225C   390C   328C   125C    10C -7777C     0C
USC00250760           0S     0S -7777S     5S    51S   210S   379S   318S   114S     8S -7777S     0S
USC00250865           0S     0S -7777S     3S    33S   163S   324S   267S    79S     3S -7777S     0S
USC00250930           0R -7777R     1R    11R    50R   198R   312R   255R    96R    10R -7777R     0R
USC00251130           0R     0R -7777R     6R    23R   130R   293R   231R    65R     2R     0R     0R
USC00251145           0S     0S -7777S     3S    32S   150S   326R   268R    81R     2R     0S     0S
USC00251149           0Q     0Q -7777Q     1Q    19Q   126Q   301Q   248Q    63Q     2Q -7777Q     0Q
USC00251189           0Q     0Q -7777Q     1Q    22Q   124Q   281Q   215Q    44Q     1Q     0Q     0Q
USC00251200           0S     0S -7777S     4C    24C   128S   258S   206S    66S     4S -7777S     0S
USC00251213           0R     0R -7777R     3R    15R   110R   220R   182R    53R     1R -7777R     0R
USC00251345           0R     0R -7777S     4S    27S   136S   275S   208S    65R     3R -7777R     0S
USC00251361           0Q     0Q     0Q -7777Q     5Q    60Q   166Q   138Q    26Q -7777Q     0Q     0Q
USC00251365           0S     0S -7777S     5S    27S   132S   277S   228S    72S     4S -7777S     0S
USC00251415           0R     0S -7777S     6S    40S   191S   336S   285S   104S     6S -7777S     0R
USC00251450           0S     0S -7777S     6S    41S   175S   307S   254S    91S     7S -7777S     0S
USC00251560           0C -7777C     1C    17S    71S   232S   354S   303S   135S    17C -7777C     0C
USC00251578           0Q     0Q -7777Q     1Q    18Q   134Q   304Q   256Q    67Q     1Q     0Q     0Q
USC00251590           0S -7777R -7777S     6C    32S   148S   277S   230S    74S     5S -7777S     0S
USC00251602           0Q     0Q     0Q     1Q    28Q   139Q   299Q   246Q    63Q     3Q     0Q     0Q
USC00251660           0R -7777R -7777R    10R    45R   194R   310R   241R    81R     6R -7777R     0R
USC00251684           0S     0C -7777S     8S    47C   202C   328S   272S   100S    10C -7777S     0C
USC00251825           0C -7777C -7777C    13C    64C   231C   363C   294C   110C    10C -7777C     0C
USC00251835           0R     0R -7777R     4R    35R   168R   320R   273R    83R     4R     0R     0R
USC00251973           0R     0R -7777R     2R    17R    99R   250R   217R    55R     2R -7777R     0R
USC00251990           0S     0S -7777C     8C    48C   178S   304S   241C    81C     7S -7777C     0C
USC00252000           0R     0S -7777S     2S    21S   112S   267S   224S    68S     4S     0S     0S
USC00252020           0C     0S     1S    14C    71C   245S   388S   317S   133S    18S     1S     0C
USC00252037           0R -7777R -7777R     9R    47R   174R   300R   247R    91R    10R -7777R     0R
USC00252065           0S     0S -7777S     4S    40S   189S   356S   306S   103S     7S -7777S     0S
USC00252100           0R     0R -7777R     4R    32R   172R   320S   259R    83R     4R -7777R     0R
USC00252145           0R     0R -7777R     1R    11R    90R   232R   176R    40R     1R     0R     0R
USC00252205           0S     0S -7777S     8C    44C   185C   313C   251S    92C     9S -7777S     0S
USC00252595           0R     0R -7777R     5R    38R   154R   269R   203R    65R     5R -7777R     0R
USC00252647           0S     0S     0S     1S    12S    83R   230S   195S    49S     1R     0S     0S
USC00252680           0S     0S -7777S     7S    42S   165S   328S   274S    94S     8S -7777S     0S
USC00252741           0R     0R -7777R     3R    29R   152S   306R   257R    88R     3R     0R     0R
USC00252770           0R     0R -7777R     4R    26R   132R   261R   216R    65R     4R     0R     0S
USC00252790           0Q     0Q     0Q     1Q    41Q   170Q   323Q   255Q    85Q     7Q -7777Q     0Q
USC00252805           0C     0S -7777C    10C    44C   174C   306S   255C    88C     7S -7777C     0C
USC00252820           0S     0S     1S    11S    54S   217S   369S   314S   122S    14S     1S     0S
USC00252840           0S     0S -7777S     9S    55C   206C   334C   270S   103C    10S -7777C     0S
USC00252980           0Q     0Q -7777Q     3Q    47Q   187Q   309Q   251Q    81Q     9Q -7777Q     0Q
USC00253015           0Q     0Q     0Q -7777Q    14Q    77Q   248Q   215Q    62Q     1Q     0Q     0Q
USC00253037           0R     0R -7777R     6R    52R   202R   367R   307R   108R    12R -7777R     0R
USC00253050           0S     0S -7777S    12S    59S   215S   332S   270S   101S    12S -7777S     0S
USC00253065           0Q     0Q -7777Q     3Q    56Q   197Q   315Q   257Q    85Q     8Q     0Q     0Q
USC00253165           0R -7777R -7777R     8R    22R   133R   242R   202R    59R     1R     0R     0R
USC00253175           0C     0C     1C    15C    66C   228C   356C   303C   126C    15C -7777C     0C
USC00253185           0C     0C -7777C    12C    49C   186C   297C   244C    93C     8C -7777C     0C
USC00253355           0S     0S -7777S     2S    17S    98S   255S   219S    58S     2S     0S     0S
USC00253365           0S     0S -7777S     6S    43S   178S   325S   268S    84S     4S -7777S     0S
USC00253425           0S     0S -7777S     7S    29S   148S   279S   224S    71S     4S -7777S     0S
USC00253467           0Q     0Q -7777Q     3Q    50Q   203Q   338Q   275Q    93Q    15Q -7777Q     0Q
USC00253515           0R     0R     0R     1R    38R   182R   334R   279R    87R     5R     0R     0R
USC00253595           0R     0R -7777R     8C    45C   205C   368C   307C   117C    10S -7777S     0R
USC00253605           0S     0S -7777S     1S    11S    81S   218S   172S    39S     1S     0S     0S
USC00253615           0S     0S     0S -7777S     5S    56C   187C   148C    30S -7777C     0S     0S
USC00253617           0Q     0Q     0Q -7777Q     7Q    55Q   195Q   172Q    36Q -7777Q -7777Q     0Q
USC00253618           0Q     0Q -7777Q     1Q    13Q    84Q   240Q   209Q    60Q     1Q     0Q     0Q
USC00253630           0S     0C -7777C     7C    40C   160C   281C   221C    78C     6C -7777S     0C
USC00253652           0Q     0Q     0Q     1Q    29Q   160Q   277Q   221Q    54Q     5Q     0Q     0Q
USC00253660           0C     0C -7777S     9S    48S   198S   326S   268S   101S    10S -7777S     0S
USC00253710           0R     0S -7777S     1R    12R    84S   230S   189R    46R     1S     0R     0S
USC00253715           0S     0R -7777S     2S    18S   103S   238S   191S    40S     1S     0S     0R
USC00253735           0S     0S     1S    12S    59S   230S   377S   322S   123S    13S     1S     0S
USC00253755           0C     0C -7777C     2C    15C    99C   254C   211C    60C     3C -7777C     0C
USC00253810           0R     0R -7777R     3R    24R   129R   287R   243S    75S     5S -7777R     0S
USC00253910           0S     0S -7777S     7S    43S   185S   315S   262S    94S     8S -7777S     0S
USC00254035           0R     0R -7777R     4R    45R   169R   272R   213R    66R     8R -7777R     0R
USC00254100           0R     0R -7777R     2R    13R    92R   225R   173R    50R     1R     0R     0R
USC00254101           0Q     0Q     0Q -7777Q    16Q    90Q   229Q   190Q    43Q     3Q     0Q     0Q
USC00254110           0S     0S     0S     2S    28S   143S   298S   233S    68S     2S     0S     0S
USC00254335           0S     0S -7777R     7S    40S   179S   304S   248S    87S     6S -7777S     0S
USC00254432           0R     0R -7777R     1R    23R   126R   287R   240R    65R     4R -7777R     0R
USC00254440           0S     0S     0S -7777S     8S    76S   203S   149S    33S -7777S     0S     0S
USC00254455           0S     0S -7777C     3S    32S   148S   312S   262S    82S     4C     0C     0S
USC00254755           0Q     0Q -7777Q -7777Q    22Q   119Q   293Q   230Q    66Q     4Q     0Q     0Q
USC00254900           0S     0C     0C     2C    23C   142S   321C   258C    62C     2C     0S     0C
USC00254903           0R     0R     0R -7777R    15R   107R   256R   198R    52R     2R -7777R     0R
USC00254985           0S     0S -7777S     8S    38S   172S   304S   250S    80S     5C -7777S     0S
USC00255040           0R     0R -7777R     6R    39R   155R   311R   264R    86R     6R -7777R     0R
USC00255080           0S     0S -7777S     8S    41S   172S   279S   225S    78S     6S -7777S     0S
USC00255090           0S     0S -7777S     3S    37S   166S   324S   260S    79S     2C     0C     0S
USC00255250           0R     0R -7777R     4R    32R   153R   291R   232R    75R     5R     0R     0R
USC00255362           0S     0S -7777S    12S    54S   208S   324S   257S    98S    10S -7777S     0S
USC00255388           0S     0C -7777C     7C    47S   193S   348S   295S   107S     9S -7777S     0C
USC00255470           0S     0S -7777R     5R    32R   135R   295S   255S    85R     6R -7777R     0R
USC00255565           0S     0S -7777S     8C    47C   198C   348C   279C    99C    10C -7777C     0C
USC00255590           0R     0R -7777R     2R    23R   131R   265R   192R    49R     1R     0R     0R
USC00255655           0Q     0Q -7777Q     1Q    33Q   160Q   312Q   254Q    65Q     4Q -7777Q     0Q
USC00255700           0R     0R -7777R     5R    38R   143R   296R   259R    73R     3R     0R     0R
USC00255702           0R     0R -7777R     3R    19R   109R   257R   223R    66R     3R -7777R     0R
USC00255810           0S -7777S     1S    14S    62S   218S   345S   286S   115S    14S     1S     0S
USC00255868           0R     0R -7777R     2R    14R    95R   190R   157R    46R     2R -7777R     0R
USC00255925           0C     0C -7777C     5C    26S   124C   264C   217C    68C     3C -7777C     0C
USC00255960           0R     0R -7777R    16R    61R   214R   361R   313R   124R    12R -7777R     0R
USC00255997           0R     0R -7777R     3R    35R   151R   270R   202R    64R     6R     0R     0R
USC00256018           0R     0R -7777R     8R    35R   162R   256R   202R    67R     6R -7777R     0R
USC00256040           0S     0S -7777S     7S    32S   151S   261S   213S    69S     3S -7777S     0S
USC00256075           0C     0S -7777C     4C    25S   138C   291C   247C    78S     5C -7777C     0C
USC00256135           0C     0C -7777C     8C    34C   149C   271C   219C    72C     5C -7777C     0C
USC00256167           0S     0S -7777S     4S    29S   147S   283C   226C    71C     4S -7777S     0S
USC00256200           0S     0S -7777S     3S    33S   164S   336S   282S    82S     3S     0S     0S
USC00256290           0C     0C -7777C     6C    35C   159C   307C   247C    79C     4C -7777C     0C
USC00256375           0C     0C -7777S     9C    51C   191C   312C   242C    89C     7C -7777C     0C
USC00256385           0S     0S     0S     2S    20S   127S   287S   227S    59S     1S     0S     0S
USC00256395           0S     0S -7777S     9S    42S   180S   309S   231S    78S     5S -7777S     0S
USC00256439           0R     0R -7777R     8R    41R   184R   301R   256R   103R     6R -7777R     0R
USC00256454           0R     0R -7777R     6R    51R   200R   333R   272R   104R    10R -7777R     0R
USC00256570           0C -7777C     1S    13S    73S   239S   390C   332C   129C    17S     1C     0S
USC00256765           0Q     0Q     0Q -7777Q    11Q    72Q   231Q   191Q    47Q     2Q     0Q     0Q
USC00256970           0S     0S -7777R     3R    26S   123R   275S   226S    68S     4S -7777R     0S
USC00257002           0R     0R -7777R     5R    49R   202R   353R   292R   103R    10R -7777R     0R
USC00257040           0S     0S -7777S     6S    36S   159S   286S   223S    71S     5S -7777S     0S
USC00257055           0Q     0Q -7777Q     3Q    47Q   198Q   342Q   270Q   100Q    13Q -7777Q     0Q
USC00257070           0S     0S -7777S     7S    49S   218S   375S   302S   107S     9S -7777S     0S
USC00257110           0S     0S -7777S     4S    33S   166S   317S   273S    81S     4S -7777S     0S
USC00257318           0R     0R -7777R     5R    25R   123R   268R   227R    70R     3R -7777R     0R
USC00257401           0Q     0Q     1Q     9Q    67Q   229Q   368Q   311Q   117Q    23Q -7777Q     0Q
USC00257415           0R     0R     0R -7777R    13R    84R   235R   195R    42R     1R     0R     0R
USC00257515           0S     0S     1S    13S    60S   225S   362S   309S   123S    11S -7777S     0S
USC00257667           0Q     0Q -7777Q     1Q    20Q   124Q   283Q   240Q    63Q     2Q -7777Q     0Q
USC00257715           0C     0C -7777C    11C    58C   219C   351C   286S   110C    11S -7777C     0C
USC00257830           0S     0S -7777S     1S    15S   103R   265R   217R    63S     3S -7777S     0R
USC00258088           0Q     0Q -7777Q     7Q    51Q   202Q   341Q   266Q    97Q    12Q -7777Q     0Q
USC00258090           0S     0S -7777S     5S    28S   133S   282S   236S    79S     5R -7777S     0S
USC00258110           0R     0R -7777R    11R    52R   191R   315R   252R    92R     7R -7777R     0R
USC00258117           0Q     0Q -7777Q     3Q    39Q   167Q   285Q   224Q    69Q     8Q -7777Q     0Q
USC00258133           0R     0R -7777R     2R    27R   127R   269R   227R    63R     3R -7777R     0R
USC00258320           0C     0C -7777C    10C    60C   228C   376C   309C   119C    11C -7777C     0C
USC00258328           0R     0R -7777R    14R    75R   245R   369R   311R   119R    15R     1R     0R
USC00258360           0R     0R     0R     1R    21R   113R   235R   205R    62R     3R -7777R     0R
USC00258395           0S -7777S     1S    14S    64S   230S   363S   306S   120S    15S     1S     0S
USC00258410           0Q     0Q -7777Q     6Q    56Q   218Q   371Q   309Q   110Q    16Q -7777Q     0Q
USC00258455           0Q     0Q     0Q -7777Q    23Q   124Q   320Q   229Q    51Q     2Q     0Q     0Q
USC00258465           0C -7777S     1S    14S    61S   223S   362S   307S   119S    14S     1C     0C
USC00258480           0S -7777S -7777S    10S    54S   195C   303C   234C    81C     9C -7777C     0C
USC00258628           0S     0S -7777S     5S    47S   202C   372C   319S   117C    10S -7777S     0S
USC00258650           0R     0R     0R     1R    16R   106R   240R   204R    50R     2R     0R     0R
USC00258751           0R     0R -7777R     2R    39R   160R   323R   259R    86R     3R -7777R     0R
USC00258755           0R     0R -7777R     7R    41R   154R   308R   274R    92R     9R -7777R     0R
USC00258795           0R -7777R -7777R     7R    65R   234R   359R   286R   108R    16R -7777R     0R
USC00258875           0R -7777R -7777R    10R    52R   204R   343R   298R   117R    16R     1R     0R
USC00258905           0R     0R     1R    12R    50R   216R   336R   275R   108R    10R -7777R     0R
USC00258915           0C     0C -7777C    12C    52C   188C   288C   242C    92C    10C -7777S     0S
USC00258920           0S     0S     0S     2S    29S   149S   307S   239S    68S     3S     0S     0S
USC00258935           0S     0S -7777S    10S    57S   203S   322S   252S    98S     9S -7777S     0S
USC00259020           0Q     0Q     0Q     2Q    41Q   175Q   335Q   272Q    87Q     4Q -7777Q     0Q
USC00259045           0R     0R -7777R     6R    42R   164R   279R   221R    73R     8R -7777R     0R
USC00259090           0C -7777C     1C    14C    59C   211C   335C   271C   104S    13S -7777S     0S
USC00259193           0Q     0Q -7777Q     5Q    45Q   184Q   301Q   238Q    80Q    12Q -7777Q     0Q
USC00259200           0C     0C -7777C    11C    49S   194C   311C   249C    85C     8C -7777C     0C
USC00259510           0S     0S     1S    17S    82S   279S   418S   342S   147S    19S     1S     0S
USC00259513           0Q     0Q     0Q -7777Q    43Q   195Q   328Q   260Q    86Q    10Q     0Q     0Q
USC00260125       -7777Q -7777Q    29Q   153Q   431Q   730Q   910Q   857Q   587Q   228Q    16Q -7777Q
USC00260150           0S -7777S     6S    47S   226S   454S   660S   606S   351S    94S     3S     0S
USC00260438           0S     0S     0S     0S -7777S    12R    75C    58S     4S -7777S     0S     0S
USC00260507           0R     0R     0R -7777R     8R    59R   214R   175R    43S     2S     0S     0S
USC00260718           0S -7777S     1S    13S   106S   279S   471S   420R   216R    34R -7777S     0S
USC00260795           0R     0R     0R -7777R    14R    76R   221S   179R    44R -7777R     0R     0R
USC00260800           0C     0S     0S -7777C     2S    34S   135S    94C    13S -7777S     0S     0S
USC00260955           0S     0S     0S     1S    36S   171S   337S   267S    73S     2S     0S     0S
USC00261071           0R     2R    24R   102R   329R   580R   773R   714R   484R   173R    11R -7777R
USC00261327           0R -7777R     4R    58R   266R   494R   710R   652R   392R   100R     3R     0R
USC00261358           0R     0R -7777R     2R    40R   177S   374R   315R    96R     4R     0R     0R
USC00261371       -7777R     1R    40R   159R   447R   686R   903R   843R   601R   238R    19R -7777R
USC00261415           0R     0R     0R -7777R     5R    66R   246R   207R    48R     2R     0R     0R
USC00261485           0C     0C     0C -7777C     9C    64S   193S   148S    33S     1C     0C     0S
